lat,lon
50.427666,8.224152
-44.728925,171.050718
58.520393,31.312798
53.996392,-1.132373
56.996467,43.146978
42.681472,23.244265
-41.163635,173.005468
57.42568,12.11385
60.14016,15.18764
56.75263,12.90637
48.908081,9.593922
48.983795,9.241211
58.3407,11.9088
56.77987,15.88729
59.8389,17.61412
57.60904,18.43031
51.22159,2.93885
57.41027,15.0496
51.136257,9.528975
51.627979,10.38355
59.04374,16.80979
49.344585,9.053421
53.84832,10.63956
58.53707,31.655758
-45.03223,168.74456
-45.355473,168.092684
51.525763,-3.38889
-40.663184,175.279639
-36.72933,174.723467
-37.807047,175.301178
56.866277,35.49723
40.714683,-122.413453
49.892325,41.486268
-41.018105,172.977187
54.83131,37.643931
47.396679,-2.195818
58.506573,37.293117
48.064817,-122.283953
48.537825,-123.39752
-41.151142,-71.433638
-37.857445,175.681137
-35.633969,148.664683
-36.114964,142.421495
-40.811592,172.932172
-33.458486,150.170661
44.925182,-93.268913
-43.607383,172.645522
-44.94223,168.711595
-37.092305,-73.15918
59.946652,10.489888
52.3,6.85
52.65,4.8
-33.999149,18.411346
55.033039,-1.749101
52.129487,26.110703
53.229599,-1.319865
52.790098,-1.51951
6.727909,-76.026319
59.443719,10.693869
43.136514,-89.66427
34.163947,-117.288459
51.1251,2.65034
52.506831,36.233933
-40.847437,172.8077
-41.389116,173.122629
58.68927,13.79094
59.05695,17.21561
48.172985,17.129641
31.636547,74.822578
-38.18892,145.411438
58.592811,49.573269
58.657036,37.254936
27.735675,113.488391
-45.257779,169.389964
50.80833,0.00674
52.427354,-1.616649
48.957989,9.453263
49.982193,8.576632
51.04295,3.0348
35.144536,-85.32259
-43.501898,172.706596
33.81828,-85.772972
36.781479,-3.1103
-43.646599,172.458855
58.76409,16.98212
56.61745,16.50988
50.351612,8.005509
49.605148,8.425484
53.4,5.3
47.722245,13.088922
49.798798,10.026817
-41.488558,-72.809685
34.16483,-117.615968
-43.312155,147.045589
33.428514,-84.007872
-45.753553,166.524789
51.142565,13.456035
-40.997288,145.761553
58.51717,13.56138
50.652981,5.667077
50.39692,7.750854
48.525694,34.067911
39.997078,-105.279647
-43.151161,171.730819
32.373089,-110.692808
53.095949,-1.575846
-38.283662,176.496597
51.08961,4.38449
51.04163,3.72784
51.431095,7.03027
49.845261,8.392396
50.453712,7.595272
35.539645,-82.644378
47.086001,11.474125
41.059714,-124.13983
51.213,-2.77768
30.996698,-9.683221
31.655608,-6.43622
38.914153,-78.189628
55.762008,37.416069
48.976776,26.532898
33.741642,-84.287583
51.496987,-3.215428
-18.767573,47.601103
59.05411,16.55551
58.19399,11.85701
58.34203,11.73565
51.7,4.6
51.95,5.85
51.4,3.45
51.7,5.4
50.9,5.9
51.6,4.75
51.33675,5.03562
51.33419,4.32443
51.15963,4.14471
50.80583,5.32368
50.017429,8.382998
51.562023,7.041378
49.910557,10.318394
49.73877,9.792092
51.616657,7.950153
49.326931,8.621178
51.170254,9.381436
32.960364,-116.599494
55.048588,-1.46406
46.873086,4.97739
50.396423,-4.096152
40.379963,-84.158823
44.478781,38.143692
50.68978,7.194688
51.408493,-2.234079
-43.459647,172.579516
44.384856,12.318189
45.489492,10.265553
50.330106,7.555041
51.9,5.2
52.35,4.75
51.8,5.25
51.9,4.35
51.7,5.55
51.4,6.05
51.9,6.2
51.55,3.65
52.0,4.15
51.6,5.1
51.8,4.25
53.45,6.2
51.8,5.85
52.25,5.65
52.2,5.2
52.1,6.1
53.15,5.8
52.55,6.6
51.7,4.8
52.05,6.4
52.1,5.85
52.7,6.35
53.0,4.75
50.94112,4.02087
51.28695,4.49485
51.03583,5.30342
51.15721,5.39256
51.1858,4.34895
50.95433,3.66273
50.99485,4.16353
51.19719,3.22862
50.83891,4.64381
50.87962,5.57839
59.345536,5.705381
59.501227,5.574711
51.65,4.0
52.35,6.45
51.25,4.0
51.55,5.9
42.924254,-1.859546
52.45,6.0
