row,col,lon,lat,suitability
63,241,122.97324414715719,46.414715719063544,0.17801186442375183
63,243,123.38795986622074,46.414715719063544,0.19262345135211945
63,244,123.5953177257525,46.414715719063544,0.15954390168190002
64,240,122.76588628762542,46.2943143812709,0.2843973636627197
64,241,122.97324414715719,46.2943143812709,0.15954390168190002
64,242,123.18060200668896,46.2943143812709,0.15954390168190002
64,243,123.38795986622074,46.2943143812709,0.19262345135211945
64,244,123.5953177257525,46.2943143812709,0.21512116491794586
65,240,122.76588628762542,46.17391304347826,0.19787317514419556
65,241,122.97324414715719,46.17391304347826,0.19262345135211945
65,242,123.18060200668896,46.17391304347826,0.26805657148361206
65,243,123.38795986622074,46.17391304347826,0.19262345135211945
65,244,123.5953177257525,46.17391304347826,0.17801186442375183
66,240,122.76588628762542,46.05351170568562,0.2075543850660324
66,241,122.97324414715719,46.05351170568562,0.20456241071224213
66,242,123.18060200668896,46.05351170568562,0.240931436419487
66,243,123.38795986622074,46.05351170568562,0.2978081703186035
66,244,123.5953177257525,46.05351170568562,0.3439565896987915
67,240,122.76588628762542,45.93311036789298,0.22219987213611603
67,241,122.97324414715719,45.93311036789298,0.26120617985725403
67,242,123.18060200668896,45.93311036789298,0.2222319394350052
67,243,123.38795986622074,45.93311036789298,0.32063862681388855
67,244,123.5953177257525,45.93311036789298,0.3439565896987915
67,245,123.80267558528428,45.93311036789298,0.21512116491794586
68,61,85.64882943143812,45.812709030100336,0.1972711682319641
68,238,122.35117056856187,45.812709030100336,0.1804780662059784
68,239,122.55852842809364,45.812709030100336,0.26182642579078674
68,240,122.76588628762542,45.812709030100336,0.20773665606975555
68,241,122.97324414715719,45.812709030100336,0.2222319394350052
68,242,123.18060200668896,45.812709030100336,0.32487839460372925
68,243,123.38795986622074,45.812709030100336,0.32487839460372925
68,244,123.5953177257525,45.812709030100336,0.3439565896987915
68,245,123.80267558528428,45.812709030100336,0.19262345135211945
69,61,85.64882943143812,45.69230769230769,0.20542165637016296
69,62,85.8561872909699,45.69230769230769,0.205661341547966
69,63,86.06354515050167,45.69230769230769,0.21955260634422302
69,236,121.93645484949832,45.69230769230769,0.1804780662059784
69,237,122.1438127090301,45.69230769230769,0.2265949696302414
69,238,122.35117056856187,45.69230769230769,0.2087022364139557
69,239,122.55852842809364,45.69230769230769,0.23096904158592224
69,240,122.76588628762542,45.69230769230769,0.20773665606975555
69,241,122.97324414715719,45.69230769230769,0.2265949696302414
69,242,123.18060200668896,45.69230769230769,0.22560259699821472
69,243,123.38795986622074,45.69230769230769,0.22560259699821472
69,244,123.5953177257525,45.69230769230769,0.2222319394350052
69,245,123.80267558528428,45.69230769230769,0.2417277842760086
69,246,124.01003344481605,45.69230769230769,0.31164076924324036
70,59,85.23411371237458,45.57190635451505,0.2992372512817383
70,61,85.64882943143812,45.57190635451505,0.20542165637016296
70,62,85.8561872909699,45.57190635451505,0.205661341547966
70,63,86.06354515050167,45.57190635451505,0.37732216715812683
70,235,121.72909698996655,45.57190635451505,0.2059364765882492
70,236,121.93645484949832,45.57190635451505,0.18986296653747559
70,237,122.1438127090301,45.57190635451505,0.20456241071224213
70,238,122.35117056856187,45.57190635451505,0.2087022364139557
70,239,122.55852842809364,45.57190635451505,0.21192361414432526
70,240,122.76588628762542,45.57190635451505,0.20459599792957306
70,241,122.97324414715719,45.57190635451505,0.2087022364139557
70,242,123.18060200668896,45.57190635451505,0.2179328054189682
70,243,123.38795986622074,45.57190635451505,0.308721661567688
70,244,123.5953177257525,45.57190635451505,0.32063862681388855
70,245,123.80267558528428,45.57190635451505,0.3439565896987915
70,246,124.01003344481605,45.57190635451505,0.2637920081615448
70,247,124.21739130434781,45.57190635451505,0.3036244511604309
71,57,84.81939799331103,45.45150501672241,0.18945643305778503
71,60,85.44147157190635,45.45150501672241,0.2019665390253067
71,61,85.64882943143812,45.45150501672241,0.399210661649704
71,234,121.52173913043478,45.45150501672241,0.2059364765882492
71,235,121.72909698996655,45.45150501672241,0.2087022364139557
71,236,121.93645484949832,45.45150501672241,0.2005169689655304
71,237,122.1438127090301,45.45150501672241,0.2005169689655304
71,238,122.35117056856187,45.45150501672241,0.2929295301437378
71,239,122.55852842809364,45.45150501672241,0.21192361414432526
71,240,122.76588628762542,45.45150501672241,0.2128259688615799
71,241,122.97324414715719,45.45150501672241,0.2005169689655304
71,242,123.18060200668896,45.45150501672241,0.315207302570343
71,243,123.38795986622074,45.45150501672241,0.315207302570343
71,244,123.5953177257525,45.45150501672241,0.26120617985725403
71,245,123.80267558528428,45.45150501672241,0.28199607133865356
71,246,124.01003344481605,45.45150501672241,0.26805657148361206
71,247,124.21739130434781,45.45150501672241,0.21133820712566376
72,58,85.0267558528428,45.331103678929765,0.1717100292444229
72,60,85.44147157190635,45.331103678929765,0.3420139253139496
72,61,85.64882943143812,45.331103678929765,0.36585813760757446
72,62,85.8561872909699,45.331103678929765,0.3399273455142975
72,63,86.06354515050167,45.331103678929765,0.34025678038597107
72,234,121.52173913043478,45.331103678929765,0.20459599792957306
72,235,121.72909698996655,45.331103678929765,0.2005169689655304
72,236,121.93645484949832,45.331103678929765,0.2005169689655304
72,237,122.1438127090301,45.331103678929765,0.2005169689655304
72,238,122.35117056856187,45.331103678929765,0.2929295301437378
72,239,122.55852842809364,45.331103678929765,0.2005169689655304
72,240,122.76588628762542,45.331103678929765,0.3036816716194153
72,241,122.97324414715719,45.331103678929765,0.2929295301437378
72,242,123.18060200668896,45.331103678929765,0.2713208794593811
72,243,123.38795986622074,45.331103678929765,0.2564016282558441
72,244,123.5953177257525,45.331103678929765,0.2179328054189682
72,245,123.80267558528428,45.331103678929765,0.26120617985725403
72,246,124.01003344481605,45.331103678929765,0.22792677581310272
72,248,124.4247491638796,45.331103678929765,0.20232871174812317
73,60,85.44147157190635,45.21070234113712,0.3399273455142975
73,61,85.64882943143812,45.21070234113712,0.33543118834495544
73,63,86.06354515050167,45.21070234113712,0.18943585455417633
73,232,121.10702341137123,45.21070234113712,0.2087022364139557
73,233,121.314381270903,45.21070234113712,0.2265949696302414
73,234,121.52173913043478,45.21070234113712,0.20773665606975555
73,235,121.72909698996655,45.21070234113712,0.2005169689655304
73,236,121.93645484949832,45.21070234113712,0.20887909829616547
73,237,122.1438127090301,45.21070234113712,0.30685457587242126
73,238,122.35117056856187,45.21070234113712,0.2005169689655304
73,239,122.55852842809364,45.21070234113712,0.2005169689655304
73,240,122.76588628762542,45.21070234113712,0.2005169689655304
73,241,122.97324414715719,45.21070234113712,0.2713208794593811
73,242,123.18060200668896,45.21070234113712,0.2564016282558441
73,243,123.38795986622074,45.21070234113712,0.315207302570343
73,244,123.5953177257525,45.21070234113712,0.26496657729148865
73,245,123.80267558528428,45.21070234113712,0.26120617985725403
73,246,124.01003344481605,45.21070234113712,0.28199607133865356
73,247,124.21739130434781,45.21070234113712,0.24333089590072632
74,60,85.44147157190635,45.09030100334448,0.33543118834495544
